party,list_type,bezirk,list_pos,name,source
linke,bezirk,02,4,Michael Efler,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,02,5,Ruby Cichon,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,03,1,Maximilian Schirmer,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,03,2,Enja Springob,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,03,3,Maria Bigos,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,03,4,Niklas Schrader,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,03,5,Maxi Häber,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,04,1,Niklas Schenker,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,04,2,Sonja Radde,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,04,3,Frederike-Sophie Gronde-Brunner,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,04,4,Johannes Kolleck,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,04,5,Lisbeth Ritterhoff,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,05,1,Ender Atakul,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,05,2,Isabella-Marie Sander,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,05,3,Hanna Lena Krüger,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,05,4,Thomas Wulfes,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,05,5,Fritz Stephan,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,06,1,Franziska Brychcy,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,06,2,Marcus Otto,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,06,3,Dr. Bettina Günter,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,06,4,Mathias Gruner,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,06,5,Lara Wiebelt,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,07,1,Sarah Bremer,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,07,2,Katharina Marg,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,07,3,Asya Șenyüz,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,07,4,Elisabeth Staudt,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,07,5,Miriam Morhart,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,08,1,Rouzbeh Taheri,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,08,2,Vanessa Emde,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,08,3,Betül Havva Yilmaz-Bergk,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,08,4,Philipp-Martin Dehne,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,08,5,Emmi Stiegler,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,09,1,Moritz Warnke,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,09,2,Lisa Pfitzmann,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,09,3,Eda Terkan,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,09,4,Dr. Hans Kromrey,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,09,5,Lena Fries,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,10,1,Björn Tielebein,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,10,2,Sarah Bigall,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,10,3,Steffen Ostehr,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,10,4,Nadine Jüngling,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,10,5,Juliane Witt,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,11,1,Hendrikje Klein,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,11,2,Antonio Leonhardt,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,11,3,Claudia Engelmann,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,11,4,Toni Kraus,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,11,5,Julia Behrens,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,12,1,Pilar Caballero Alvarez,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,12,2,Jessica Gerke,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
linke,bezirk,12,3,Sophia-Marie Dietrich,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahllokalsuche/artikel.1701445.php
