"Ergebnisart";"Datum";"Uhrzeit";"Soll.Wahlbezirke";"Ist.Wahlbezirke";"Satzart";"Schlüsselnummer";"Name";"Wahllokal";"A.Wahlberechtigte";"B.Wähler";"E.Ungültige.Zweitstimmen";"F.Gültige.Zweitstimmen";"F01.CDU";"F02.AfD";"F03.Die Linke";"F04.SPD";"F05.FDP";"F06.GRÜNE";"F07.FREIE WÄHLER";"F08.dieBasis";"F09.Tierschutzpartei";"F10.Gartenpartei";"F11.Die PARTEI";"F12.TIERSCHUTZALLIANZ";"F15.BSW";"F19.PdF";"F20.Volt";"C.Ungültige.Erststimmen";"D.Gültige.Erststimmen";"D01.CDU";"D02.AfD";"D03.Die Linke";"D04.SPD";"D05.FDP";"D06.GRÜNE";"D07.FREIE WÄHLER";"D09.Tierschutzpartei";"D10.Gartenpartei";"D11.Die PARTEI";"D12.TIERSCHUTZALLIANZ";"D13.HEIMAT";"D15.BSW";"D19.PdF";"D20.Volt";"D21.EB";"Gewählt im Wahlkreis"
"Z";"06.09.2026";"18:56:09";2;1;"GEM";"15088295";"Petersberg";"B";0;98;0;98;33;34;5;10;0;4;2;0;2;1;0;1;5;1;0;0;98;40;36;8;5;2;2;;;;;;;5;0;;;""
"Z";"06.09.2026";"18:59:54";13;2;"GEM";"15088295";"Petersberg";"";849;634;9;625;120;307;31;44;21;49;7;0;3;1;2;9;26;3;2;8;626;179;323;48;28;29;12;;;;;;;5;2;;;""
"Z";"06.09.2026";"19:24:15";13;2;"GEM";"15088305";"Querfurt, Stadt";"U";622;392;4;388;44;258;18;21;9;13;3;0;1;1;0;1;18;1;0;3;389;64;266;21;17;12;3;;;;;;;;6;;;""
"L";;;3;0;"GEM";"15088305";"Querfurt, Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;;;""
"Z";"06.09.2026";"19:24:15";16;2;"GEM";"15088305";"Querfurt, Stadt";"";622;392;4;388;44;258;18;21;9;13;3;0;1;1;0;1;18;1;0;3;389;64;266;21;17;12;3;;;;;;;;6;;;""
"Z";"06.09.2026";"19:20:01";9;2;"GEM";"15088319";"Salzatal";"U";480;266;3;263;35;141;14;22;9;19;7;0;1;0;1;1;13;0;0;2;264;61;142;26;17;13;2;;;;;;;;3;;;""
"L";;;2;0;"GEM";"15088319";"Salzatal";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;;;""
"Z";"06.09.2026";"19:20:01";11;2;"GEM";"15088319";"Salzatal";"";480;266;3;263;35;141;14;22;9;19;7;0;1;0;1;1;13;0;0;2;264;61;142;26;17;13;2;;;;;;;;3;;;""
"Z";"06.09.2026";"19:20:37";13;3;"GEM";"15088330";"Schkopau";"U";1428;876;14;862;122;468;46;53;20;64;8;2;13;5;2;4;54;0;1;12;864;184;482;63;48;24;19;;;;;;;44;;;;""
"L";;;2;0;"GEM";"15088330";"Schkopau";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;;""
"Z";"06.09.2026";"19:20:37";15;3;"GEM";"15088330";"Schkopau";"";1428;876;14;862;122;468;46;53;20;64;8;2;13;5;2;4;54;0;1;12;864;184;482;63;48;24;19;;;;;;;44;;;;""
"L";;;1;0;"GEM";"15088340";"Schraplau, Stadt";"U";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;;;""
"L";;;1;0;"GEM";"15088340";"Schraplau, Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;;;""
"L";;;2;0;"GEM";"15088340";"Schraplau, Stadt";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;;;""
"V";"06.09.2026";"19:21:29";2;2;"GEM";"15088355";"Steigra";"U";897;502;7;495;92;285;28;31;7;17;6;2;3;3;0;0;16;5;0;7;495;113;292;35;30;15;5;;;;;;;;5;;;""
"L";;;1;0;"GEM";"15088355";"Steigra";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;;;""
"Z";"06.09.2026";"19:21:29";3;2;"GEM";"15088355";"Steigra";"";897;502;7;495;92;285;28;31;7;17;6;2;3;3;0;0;16;5;0;7;495;113;292;35;30;15;5;;;;;;;;5;;;""
"Z";"06.09.2026";"19:15:38";13;2;"GEM";"15088365";"Teutschenthal";"U";1166;718;6;712;101;425;40;48;23;23;7;1;11;1;4;5;19;2;2;10;708;145;438;39;37;33;5;;;;;;;;11;;;""
"L";;;2;0;"GEM";"15088365";"Teutschenthal";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;;;""
"Z";"06.09.2026";"19:15:38";15;2;"GEM";"15088365";"Teutschenthal";"";1166;718;6;712;101;425;40;48;23;23;7;1;11;1;4;5;19;2;2;10;708;145;438;39;37;33;5;;;;;;;;11;;;""
"Z";"06.09.2026";"19:29:55";3;1;"GEM";"15089005";"Alsleben (Saale), Stadt";"U";850;496;2;494;87;302;26;23;11;8;2;0;3;1;0;2;26;2;1;3;493;110;308;31;18;21;5;;;;;;;;;;;""
"L";;;1;0;"GEM";"15089005";"Alsleben (Saale), Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;""
"Z";"06.09.2026";"19:29:55";4;1;"GEM";"15089005";"Alsleben (Saale), Stadt";"";850;496;2;494;87;302;26;23;11;8;2;0;3;1;0;2;26;2;1;3;493;110;308;31;18;21;5;;;;;;;;;;;""
