party,list_type,bezirk,list_pos,name,person_id,wkr_direct,source,is_placeholder
afd,landes,,12,Robert Eschricht,be:afd:person:robert eschricht,51,https://noafd.info/agh/,0
afd,landes,,13,Marc Bernicke,be:afd:person:marc bernicke,,https://noafd.info/agh/,0
afd,landes,,14,Frank-Christian Hansel,be:afd:person:frank-christian hansel,,https://noafd.info/agh/,0
afd,landes,,15,Julian Adrat,be:afd:person:julian adrat,,https://noafd.info/agh/,0
afd,landes,,16,Marc Vallendar,be:afd:person:marc vallendar,,https://noafd.info/agh/,0
afd,landes,,17,Frank Scheermesser,be:afd:person:frank scheermesser,,https://noafd.info/agh/,0
afd,landes,,18,David Eckert,be:afd:person:david eckert,,https://lichtenberg.afd.berlin/unsere-kandidaten-fuer-das-abgeordnetenhaus-von-berlin-2026/,0
afd,landes,,19,Dennis Henkel,be:afd:person:dennis henkel,,https://noafd.info/agh/,0
afd,landes,,20,Herbert Mohr,be:afd:person:herbert mohr,,https://pankow.afd.berlin/2025/10/starke-praesenz-und-erfolg-fuer-pankower-afd-bei-listenaufstellung/,0
afd,landes,,21,Hendrik Pauli,be:afd:person:hendrik pauli,53,https://noafd.info/agh/,0
afd,landes,,22,Sarah Gröber,be:afd:person:sarah groeber,,https://noafd.info/agh/,0
afd,landes,,23,Ralf Conradi,be:afd:person:ralf conradi,,https://noafd.info/agh/,0
afd,landes,,24,Karl-Heinz Turban,be:afd:person:karl-heinz turban,,https://noafd.info/agh/,0
afd,landes,,25,Stephan Knaute,be:afd:person:stephan knaute,67,https://lichtenberg.afd.berlin/unsere-kandidaten-fuer-das-abgeordnetenhaus-von-berlin-2026/,0
afd,landes,,26,Christopher Wiedenhaupt,be:afd:person:christopher wiedenhaupt,,https://noafd.info/agh/,0
afd,landes,,27,Miriam Schroiff,be:afd:person:miriam schroiff,,https://noafd.info/agh/,0
afd,landes,,28,Hanno Bachmann,be:afd:person:hanno bachmann,,https://pankow.afd.berlin/2025/10/starke-praesenz-und-erfolg-fuer-pankower-afd-bei-listenaufstellung/,0
afd,landes,,29,Christian Müller,be:afd:person:christian mueller,,https://noafd.info/agh/,0
afd,landes,,30,Christopher Schweer,be:afd:person:christopher schweer,,https://pankow.afd.berlin/2025/10/starke-praesenz-und-erfolg-fuer-pankower-afd-bei-listenaufstellung/,0
afd,landes,,31,Thomas Arhelger,be:afd:person:thomas arhelger,50,https://noafd.info/agh/,0
afd,landes,,32,Hermann Priegnitz,be:afd:person:hermann priegnitz,,https://noafd.info/agh/,0
afd,landes,,33,Michael Zischka,be:afd:person:michael zischka,,https://noafd.info/agh/,0
afd,landes,,34,Katharina Oldenburg,be:afd:person:katharina oldenburg,,https://pankow.afd.berlin/2025/10/starke-praesenz-und-erfolg-fuer-pankower-afd-bei-listenaufstellung/,0
afd,landes,,35,Andreas Quint,be:afd:person:andreas quint,,https://noafd.info/agh/,0
afd,landes,,36,Listenplatz 36 · unbekannt,be:afd:list:landes:land:36,,,1
afd,landes,,37,Listenplatz 37 · unbekannt,be:afd:list:landes:land:37,,,1
afd,landes,,38,Listenplatz 38 · unbekannt,be:afd:list:landes:land:38,,,1
afd,landes,,39,Listenplatz 39 · unbekannt,be:afd:list:landes:land:39,,,1
afd,landes,,40,Listenplatz 40 · unbekannt,be:afd:list:landes:land:40,,,1
afd,landes,,41,Listenplatz 41 · unbekannt,be:afd:list:landes:land:41,,,1
afd,landes,,42,Listenplatz 42 · unbekannt,be:afd:list:landes:land:42,,,1
afd,landes,,43,Listenplatz 43 · unbekannt,be:afd:list:landes:land:43,,,1
afd,landes,,44,Listenplatz 44 · unbekannt,be:afd:list:landes:land:44,,,1
afd,landes,,45,Listenplatz 45 · unbekannt,be:afd:list:landes:land:45,,,1
afd,landes,,46,Listenplatz 46 · unbekannt,be:afd:list:landes:land:46,,,1
afd,landes,,47,Listenplatz 47 · unbekannt,be:afd:list:landes:land:47,,,1
afd,landes,,48,Listenplatz 48 · unbekannt,be:afd:list:landes:land:48,,,1
afd,landes,,49,Listenplatz 49 · unbekannt,be:afd:list:landes:land:49,,,1
afd,landes,,50,Listenplatz 50 · unbekannt,be:afd:list:landes:land:50,,,1
afd,landes,,51,Listenplatz 51 · unbekannt,be:afd:list:landes:land:51,,,1
afd,landes,,52,Listenplatz 52 · unbekannt,be:afd:list:landes:land:52,,,1
afd,landes,,53,Listenplatz 53 · unbekannt,be:afd:list:landes:land:53,,,1
afd,landes,,54,Listenplatz 54 · unbekannt,be:afd:list:landes:land:54,,,1
afd,landes,,55,Listenplatz 55 · unbekannt,be:afd:list:landes:land:55,,,1
afd,landes,,56,Listenplatz 56 · unbekannt,be:afd:list:landes:land:56,,,1
afd,landes,,57,Listenplatz 57 · unbekannt,be:afd:list:landes:land:57,,,1
afd,landes,,58,Listenplatz 58 · unbekannt,be:afd:list:landes:land:58,,,1
afd,landes,,59,Listenplatz 59 · unbekannt,be:afd:list:landes:land:59,,,1
afd,landes,,60,Listenplatz 60 · unbekannt,be:afd:list:landes:land:60,,,1
cdu,bezirk,03,1,Dirk Stettner,be:cdu:person:dirk stettner,4,https://www.cdupankow.de/Fuer-das-Abgeordnetenhaus_p_127.html,0
cdu,bezirk,03,2,Stephan Lenz,be:cdu:person:stephan lenz,,https://www.cdupankow.de/Fuer-das-Abgeordnetenhaus_p_127.html,0
