"wahlkreisnummer16","gemeindekennziffer","gemeindename"
"12","13072021","Cammin"
"11","13072022","Carinerland"
"15","13072023","Dahmen"
"15","13072024","Dalkendorf"
"15","13072025","Diekhof"
"15","13072026","Dobbin-Linstow"
"15","13072027","Dolgen am See"
"16","13072028","Dreetz"
"12","13072029","Dummerstorf"
"12","13072030","Elmenhorst/Lichtenhagen"
"15","13072031","Finkenthal"
"12","13072032","Gelbensande"
"16","13072033","Glasewitz"
"12","13072034","Gnewitz"
"15","13072035","Gnoien, Stadt"
"12","13072036","Graal-Müritz"
"12","13072037","Grammow"
"15","13072038","Groß Roge"
"16","13072039","Groß Schwiesow"
"15","13072040","Groß Wokern"
"15","13072041","Groß Wüstenfelde"
"16","13072042","Gülzow-Prüzen"
"16","13072043","Güstrow, Stadt"
"16","13072044","Gutow"
"15","13072045","Hohen Demzin"
"15","13072046","Hohen Sprenz"
"11","13072047","Hohenfelde"
"15","13072048","Hoppenrade"
"15","13072049","Jördenstorf"
"16","13072050","Jürgenshagen"
"15","13072051","Kassow"
"11","13072052","Kirch Mulsow"
"16","13072053","Klein Belitz"
"12","13072054","Klein Kussewitz"
"16","13072055","Klein Upahl"
"15","13072056","Krakow am See, Stadt"
"12","13072057","Kritzmow"
"11","13072058","Kröpelin, Stadt"
"15","13072059","Kuchelmiß"
"11","13072060","Kühlungsborn, Stadt"
"16","13072061","Kuhs"
"15","13072062","Laage, Stadt"
"15","13072063","Lalendorf"
"12","13072064","Lambrechtshagen"
"15","13072066","Lelkendorf"
"16","13072067","Lohmen"
"15","13072068","Lühburg"
"16","13072069","Lüssow"
"16","13072071","Mistorf"
"12","13072072","Mönchhagen"
"16","13072073","Mühl Rosin"
"11","13072074","Neubukow, Stadt"
"11","13072075","Nienhagen"
"12","13072076","Nustrow"
"12","13072077","Papendorf"
"16","13072078","Penzin"
"16","13072079","Plaaz"
"12","13072080","Pölchow"
"12","13072081","Poppendorf"
"15","13072082","Prebberede"
"11","13072083","Reddelich"
"16","13072084","Reimershagen"
"11","13072085","Rerik, Stadt"
"11","13072086","Retschow"
"12","13072087","Roggentin"
"12","13072088","Rövershagen"
"16","13072089","Rühn"
"15","13072090","Rukieten"
"12","13072091","Sanitz"
"16","13072092","Sarmstorf"
"11","13072093","Satow"
"15","13072094","Schorssow"
"15","13072095","Schwaan, Stadt"
"15","13072096","Schwasdorf"
"12","13072097","Selpin"
"12","13072098","Stäbelow"
"11","13072099","Steffenshagen"
"16","13072101","Steinhagen"
"12","13072102","Stubbendorf"
"15","13072103","Sukow-Levitzow"
"16","13072104","Tarnow"
"12","13072105","Tessin, Stadt"
"15","13072106","Teterow, Stadt"
"12","13072107","Thelkow"
"12","13072108","Thulendorf"
"15","13072109","Thürkow"
"15","13072110","Vorbeck"
"15","13072111","Walkendorf"
"15","13072112","Wardow"
"15","13072113","Warnkenhagen"
"16","13072114","Warnow"
"15","13072116","Wiendorf"
"11","13072117","Wittenbeck"
"12","13072118","Zarnewanz"
"16","13072119","Zehna"
"16","13072120","Zepelin"
"12","13072121","Ziesendorf"
"11","13072751","Briefwahl Bad Doberan-Land"
"16","13072752","Briefwahl Bützow-Land"
"12","13072753","Briefwahl Carbäk"
"15","13072754","Briefwahl Gnoien"
"16","13072755","Briefwahl Güstrow-Land"
"15","13072756","Briefwahl Krakow am See"
"15","13072757","Briefwahl Laage"
"15","13072758","Briefwahl Mecklenburgische Schweiz"
"11","13072759","Briefwahl Neubukow-Salzhaff"
"12","13072760","Briefwahl Rostocker Heide"
"15","13072761","Briefwahl Schwaan"
