"Ergebnisart";"Datum";"Uhrzeit";"Soll.Wahlbezirke";"Ist.Wahlbezirke";"Satzart";"Schlüsselnummer";"Name";"Wahllokal";"A.Wahlberechtigte";"B.Wähler";"E.Ungültige.Zweitstimmen";"F.Gültige.Zweitstimmen";"F01.CDU";"F02.AfD";"F03.Die Linke";"F04.SPD";"F05.FDP";"F06.GRÜNE";"F07.FREIE WÄHLER";"F08.dieBasis";"F09.Tierschutzpartei";"F10.Gartenpartei";"F11.Die PARTEI";"F12.TIERSCHUTZALLIANZ";"F15.BSW";"F19.PdF";"F20.Volt";"C.Ungültige.Erststimmen";"D.Gültige.Erststimmen";"D01.CDU";"D02.AfD";"D03.Die Linke";"D04.SPD";"D05.FDP";"D06.GRÜNE";"D07.FREIE WÄHLER";"D09.Tierschutzpartei";"D10.Gartenpartei";"D11.Die PARTEI";"D12.TIERSCHUTZALLIANZ";"D13.HEIMAT";"D15.BSW";"D19.PdF";"D20.Volt";"D21.EB";"Gewählt im Wahlkreis"
"Z";"06.09.2026";"20:22:16";6;3;"WKR";"023";"Zerbst";"B";0;2765;20;2745;762;783;272;317;95;168;48;3;43;20;7;11;201;7;8;53;2712;982;809;369;301;139;112;;;;;;;;;;;""
"Z";"06.09.2026";"20:37:17";79;74;"WKR";"023";"Zerbst";"";34577;23980;283;23697;4188;11795;1724;1768;680;1221;343;26;251;117;64;111;1288;35;86;444;23536;5811;12075;2198;1762;1084;606;;;;;;;;;;;""
"Z";"06.09.2026";"20:36:45";49;46;"WKR";"024";"Wittenberg";"U";39909;21877;222;21655;3988;10754;1579;1437;394;1412;523;36;242;96;60;120;918;41;55;257;21620;5381;11021;1909;1254;394;532;1129;;;;;;;;;;""
"Z";"06.09.2026";"20:40:21";14;12;"WKR";"024";"Wittenberg";"B";0;8832;68;8764;2556;2087;928;1021;258;977;284;16;88;45;24;51;389;15;25;101;8731;3530;2164;1093;785;212;409;538;;;;;;;;;;""
"Z";"06.09.2026";"20:40:21";63;58;"WKR";"024";"Wittenberg";"";39909;30709;290;30419;6544;12841;2507;2458;652;2389;807;52;330;141;84;171;1307;56;80;358;30351;8911;13185;3002;2039;606;941;1667;;;;;;;;;;""
"Z";"06.09.2026";"20:44:21";72;70;"WKR";"025";"Jessen";"U";38144;22847;263;22584;3847;12480;1448;1376;443;968;476;35;220;87;43;101;972;30;58;272;22575;4870;12677;1831;1120;458;419;1200;;;;;;;;;;""
"Z";"06.09.2026";"20:24:08";9;7;"WKR";"025";"Jessen";"B";0;5942;34;5908;1737;1704;574;563;132;449;196;3;73;42;9;34;352;15;25;67;5875;2177;1745;693;464;125;237;434;;;;;;;;;;""
"Z";"06.09.2026";"20:44:21";81;77;"WKR";"025";"Jessen";"";38144;28789;297;28492;5584;14184;2022;1939;575;1417;672;38;293;129;52;135;1324;45;83;339;28450;7047;14422;2524;1584;583;656;1634;;;;;;;;;;""
"V";"06.09.2026";"20:53:06";38;38;"WKR";"026";"Dessau-Roßlau";"U";39422;22209;250;21959;3536;9731;1768;2004;660;1964;172;19;266;90;52;121;1472;23;81;339;21870;5597;10413;2255;1728;1085;792;;;;;;;;;;;""
"Z";"06.09.2026";"20:45:46";14;13;"WKR";"026";"Dessau-Roßlau";"B";0;7580;34;7546;1986;1580;785;1036;318;1090;68;5;71;30;17;39;488;13;20;87;7493;3087;1631;974;758;565;478;;;;;;;;;;;""
"Z";"06.09.2026";"20:53:06";52;51;"WKR";"026";"Dessau-Roßlau";"";39422;29789;284;29505;5522;11311;2553;3040;978;3054;240;24;337;120;69;160;1960;36;101;426;29363;8684;12044;3229;2486;1650;1270;;;;;;;;;;;""
"Z";"06.09.2026";"20:41:22";54;24;"WKR";"027";"Dessau-Roßlau-Wittenberg";"U";18598;10504;126;10378;1554;4960;764;873;251;895;114;11;123;60;36;65;615;16;41;140;10364;2372;5171;1046;739;290;298;326;;;;;122;;;;;""
"Z";"06.09.2026";"20:20:18";12;7;"WKR";"027";"Dessau-Roßlau-Wittenberg";"B";0;4199;39;4160;1106;870;417;558;143;604;67;10;55;26;11;17;255;6;15;60;4139;1668;909;557;425;149;240;136;;;;;55;;;;;""
"Z";"06.09.2026";"20:41:22";66;31;"WKR";"027";"Dessau-Roßlau-Wittenberg";"";18598;14703;165;14538;2660;5830;1181;1431;394;1499;181;21;178;86;47;82;870;22;56;200;14503;4040;6080;1603;1164;439;538;462;;;;;177;;;;;""
"Z";"06.09.2026";"20:18:32";51;46;"WKR";"028";"Bitterfeld-Wolfen";"U";43520;24103;288;23815;3427;13408;1573;1495;545;1150;417;24;282;93;61;138;1102;33;67;322;23781;4134;13946;1893;1458;594;642;1114;;;;;;;;;;""
"Z";"06.09.2026";"20:34:48";10;5;"WKR";"028";"Bitterfeld-Wolfen";"B";0;4993;21;4972;1265;1425;524;613;118;467;120;2;73;31;11;28;262;9;24;34;4959;1531;1482;702;551;147;257;289;;;;;;;;;;""
"Z";"06.09.2026";"20:34:48";61;51;"WKR";"028";"Bitterfeld-Wolfen";"";43520;29096;309;28787;4692;14833;2097;2108;663;1617;537;26;355;124;72;166;1364;42;91;356;28740;5665;15428;2595;2009;741;899;1403;;;;;;;;;;""
"Z";"06.09.2026";"20:55:15";55;50;"WKR";"029";"Saalekreis";"U";37585;22496;229;22267;3269;12571;1303;1368;554;1208;195;29;225;74;45;120;1188;74;44;287;22209;4898;12983;1708;1040;880;394;;;;;;;;306;;;""
"Z";"06.09.2026";"20:04:05";8;1;"WKR";"029";"Saalekreis";"B";0;1096;4;1092;262;351;105;132;32;104;14;1;7;5;4;7;61;1;6;21;1075;406;353;135;76;41;31;;;;;;;;33;;;""
"Z";"06.09.2026";"20:55:15";63;51;"WKR";"029";"Saalekreis";"";37585;23592;233;23359;3531;12922;1408;1500;586;1312;209;30;232;79;49;127;1249;75;50;308;23284;5304;13336;1843;1116;921;425;;;;;;;;339;;;""
"Z";"06.09.2026";"20:15:19";56;52;"WKR";"030";"Eisleben";"U";39230;22433;263;22170;3157;13341;1452;1237;489;672;156;22;206;90;41;103;1070;87;47;329;22104;3942;13819;2007;1078;699;313;;;;;;;;246;;;""
"Z";"06.09.2026";"20:24:15";15;14;"WKR";"030";"Eisleben";"B";0;7766;34;7732;2027;2488;847;873;232;451;62;5;71;41;19;41;489;74;12;74;7692;2502;2617;1216;622;319;249;;;;;;;;167;;;""
"Z";"06.09.2026";"20:24:15";71;66;"WKR";"030";"Eisleben";"";39230;30199;297;29902;5184;15829;2299;2110;721;1123;218;27;277;131;60;144;1559;161;59;403;29796;6444;16436;3223;1700;1018;562;;;;;;;;413;;;""
"Z";"06.09.2026";"20:19:45";75;68;"WKR";"031";"Sangerhausen";"U";35032;20327;241;20086;3215;11243;1407;1283;401;734;154;30;209;91;44;108;1022;96;49;290;20037;4385;11669;1788;972;601;378;;;;;;;;244;;;""
