Ergebnisart;Datum;leer;leer;leer;Satzart;Schlüsselnummer;Name;A - Wahlberechtigte;B - Wähler;E - Ungültige Zweitstimmen;F - Gültige Zweitstimmen;F01 - CDU ;F02 - AfD ;F03 - DIE LINKE ;F04 - SPD ;F05 - GRÜNE ;F06 - FDP ;F07 - FREIE WÄHLER ;F08 - NPD ;F09 - Tierschutzpartei ;F10 - Tierschutzallianz ;F11 - LKR ;F12 - Die PARTEI ;F13 - Gartenpartei ;F14 - FBM ;F15 - TIERSCHUTZ hier! ;F16 - dieBasis ;F19 - Klimaliste ST ;F21 - ÖDP ;F22 - Die Humanisten ;F23 - Gesundheitsforschung ;F24 - PIRATEN ;F25 - WiR2020 ;C - Ungültige Erststimmen;D - Gültige Erststimmen;D01 - CDU ;D02 - AfD ;D03 - DIE LINKE ;D04 - SPD ;D05 - GRÜNE ;D06 - FDP ;D07 - FREIE WÄHLER ;D08 - NPD ;D09 - Tierschutzpartei ;D10 - Tierschutzallianz ;D12 - Die PARTEI ;D13 - Gartenpartei ;D14 - FBM ;D16 - dieBasis ;D21 - ÖDP ;D26 - Andere KWV ;D27 - Andere KWV ;D28 - Andere KWV ;
E;06.06.2021;;;;GEM;15083531;Stadt Wanzleben-Börde;11657;7406;76;7330;2716;1641;708;566;231;597;391;28;98;25;3;32;70;3;62;85;3;3;3;31;21;13;96;7310;2334;1656;731;597;229;1138;625;;;;;;;;;;;;
E;06.06.2021;;;;GEM;15083535;Gemeinde Wefensleben;1402;813;7;806;293;151;122;89;27;45;38;6;7;0;0;3;6;0;6;6;0;0;1;4;0;2;8;805;280;165;131;110;31;42;42;;;;;;;4;;;;;
E;06.06.2021;;;;GEM;15083557;Gemeinde Westheide;1415;943;11;932;372;241;80;64;31;53;23;2;13;7;0;12;8;0;1;10;1;0;2;5;4;3;17;926;393;242;78;76;32;38;35;;;16;;;;15;;1;;;
E;06.06.2021;;;;GEM;15083565;Stadt Wolmirstedt;9532;5879;74;5805;2071;1256;721;516;260;387;145;14;77;63;1;45;65;5;29;79;2;2;12;22;24;9;72;5807;2264;1145;812;528;218;313;202;;;156;;;;99;;70;;;
E;06.06.2021;;;;GEM;15083580;Gemeinde Zielitz;1530;978;23;955;353;230;94;64;43;75;28;2;11;6;0;3;11;1;5;13;1;1;0;4;6;4;25;953;366;215;118;92;28;54;31;;;25;;;;16;;8;;;
E;06.06.2021;;;;GEM;15084012;Gemeinde An der Poststraße;1353;831;16;815;291;227;56;74;15;47;22;6;6;8;0;6;4;2;4;40;0;2;0;4;0;1;23;808;271;257;82;84;9;74;;;;31;;;;;;;;;
E;06.06.2021;;;;GEM;15084013;Gemeinde Meineweh;812;482;3;479;181;117;59;33;11;30;11;2;1;4;0;2;4;0;4;12;0;2;0;0;3;3;3;479;180;127;60;51;7;28;;;;;15;;;;;11;;;
E;06.06.2021;;;;GEM;15084015;Stadt Bad Bibra;2251;1316;20;1296;526;320;126;99;27;89;28;7;11;13;2;5;8;1;6;12;0;1;2;7;5;1;33;1283;435;368;161;117;19;137;;;;46;;;;;;;;;
E;06.06.2021;;;;GEM;15084025;Gemeinde Balgstädt;903;570;8;562;226;160;39;39;21;27;7;5;8;2;2;3;2;0;2;16;0;0;0;2;1;0;7;563;236;175;33;54;6;26;;;;;16;;;;;17;;;
E;06.06.2021;;;;GEM;15084115;Gemeinde Droyßig;1610;1004;11;993;366;244;114;62;43;73;31;0;10;0;1;4;7;2;3;19;2;2;1;1;3;5;12;992;238;230;192;59;46;81;126;;;;;;;;;5;10;5;
