state,election,election_l1,wkr,wkr_name,party,resp_E,resp_Z,res_l1_E,res_l1_Z,no_cand_l1,source
MV,2016,2011,17,Ludwigslust-Parchim I,others,0.012876,0.101536,0.09865,0.129028,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,18,Ludwigslust-Parchim II,spd,0.299808,0.349137,0.452811,0.427568,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,18,Ludwigslust-Parchim II,afd,0.191401,0.172608,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,18,Ludwigslust-Parchim II,cdu,0.266798,0.1986,0.243734,0.22113,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,18,Ludwigslust-Parchim II,linke,0.131899,0.120859,0.155554,0.154262,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,18,Ludwigslust-Parchim II,gruene,0.026727,0.030378,0.05805,0.063844,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,18,Ludwigslust-Parchim II,fdp,0.026445,0.028791,0.028675,0.028249,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,18,Ludwigslust-Parchim II,others,0.056923,0.099627,0.061176,0.104948,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,19,Ludwigslust-Parchim III,spd,0.286598,0.33616,0.411885,0.417559,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,19,Ludwigslust-Parchim III,afd,0.226724,0.20604,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,19,Ludwigslust-Parchim III,cdu,0.195839,0.170981,0.211885,0.205845,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,19,Ludwigslust-Parchim III,linke,0.149436,0.118615,0.17441,0.16699,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,19,Ludwigslust-Parchim III,gruene,0.030885,0.030894,0.102758,0.068653,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,19,Ludwigslust-Parchim III,fdp,0.042361,0.034464,0.036736,0.033842,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,19,Ludwigslust-Parchim III,others,0.068157,0.102846,0.062326,0.10711,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,20,Mecklenburgische Seenplatte III,spd,0.301503,0.31449,0.393952,0.396595,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,20,Mecklenburgische Seenplatte III,afd,0.231627,0.221614,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,20,Mecklenburgische Seenplatte III,cdu,0.211323,0.187854,0.258867,0.224778,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,20,Mecklenburgische Seenplatte III,linke,0.141372,0.133238,0.169928,0.171907,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,20,Mecklenburgische Seenplatte III,gruene,0.069123,0.05094,0.066559,0.07259,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,20,Mecklenburgische Seenplatte III,fdp,0.02795,0.026858,0.03252,0.03333,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,20,Mecklenburgische Seenplatte III,others,0.017102,0.065006,0.078174,0.1008,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,21,Mecklenburgische Seenplatte IV,spd,0.286173,0.280657,0.331799,0.361058,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,21,Mecklenburgische Seenplatte IV,afd,0.223801,0.215677,0.0,0.0,1,ltw11-21_meckpom_abs.csv
MV,2016,2011,21,Mecklenburgische Seenplatte IV,cdu,0.264085,0.225633,0.273833,0.256073,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,21,Mecklenburgische Seenplatte IV,linke,0.150336,0.141615,0.197732,0.180226,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,21,Mecklenburgische Seenplatte IV,gruene,0.042863,0.045602,0.069527,0.072101,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,21,Mecklenburgische Seenplatte IV,fdp,0.032743,0.024671,0.05194,0.025448,0,ltw11-21_meckpom_abs.csv
MV,2016,2011,21,Mecklenburgische Seenplatte IV,others,0.0,0.066145,0.07517,0.105095,0,ltw11-21_meckpom_abs.csv
