state,party,name,norm_name,match_how,aw_name,aw_party,aw_politician_id,aw_url,aw_wkr,aw_list_pos,source
ST,cdu,Nico Elsner,nico elsner,exact,Nico Elsner,cdu,184953,https://www.abgeordnetenwatch.de/profile/nico-elsner,24,28,abgeordnetenwatch
ST,cdu,Olaf Feuerborn,olaf feuerborn,exact,Olaf Feuerborn,cdu,175206,https://www.abgeordnetenwatch.de/profile/olaf-feuerborn,22,22,abgeordnetenwatch
ST,cdu,Patrick Schubert,patrick schubert,exact,Patrick Schubert,cdu,184954,https://www.abgeordnetenwatch.de/profile/patrick-schubert,25,39,abgeordnetenwatch
ST,cdu,René Barthel,rene barthel,exact,René Barthel,cdu,175209,https://www.abgeordnetenwatch.de/profile/rene-barthel,30,12,abgeordnetenwatch
ST,cdu,Sandra Hietel-Heuer,sandra hietel-heuer,exact,Sandra Hietel-Heuer,cdu,175197,https://www.abgeordnetenwatch.de/profile/sandra-hietel-heuer,2,8,abgeordnetenwatch
ST,cdu,Stefan Ruland,stefan ruland,exact,Stefan Ruland,cdu,175205,https://www.abgeordnetenwatch.de/profile/stefan-ruland,21,9,abgeordnetenwatch
ST,cdu,Sven Rosomkiewicz,sven rosomkiewicz,exact,Sven Rosomkiewicz,cdu,175204,https://www.abgeordnetenwatch.de/profile/sven-rosomkiewicz,19,33,abgeordnetenwatch
ST,cdu,Sven Schulze,sven schulze,exact,Sven Schulze,cdu,29484,https://www.abgeordnetenwatch.de/profile/sven-schulze,12,1,abgeordnetenwatch
ST,cdu,Thomas Staudt,thomas staudt,exact,Thomas Staudt,cdu,175198,https://www.abgeordnetenwatch.de/profile/thomas-staudt,5,20,abgeordnetenwatch
ST,cdu,Thomas Weise,thomas weise,exact,Thomas Weise,cdu,184947,https://www.abgeordnetenwatch.de/profile/thomas-weise,4,26,abgeordnetenwatch
ST,cdu,Tim Rohne,tim rohne,exact,Tim Rohne,cdu,184949,https://www.abgeordnetenwatch.de/profile/tim-rohne,10,17,abgeordnetenwatch
ST,cdu,Tim Teßmann,tim tessmann,exact,Tim Teßmann,cdu,175199,https://www.abgeordnetenwatch.de/profile/tim-tessmann,7,15,abgeordnetenwatch
ST,cdu,Tobias Krull,tobias krull,exact,Tobias Krull,cdu,152753,https://www.abgeordnetenwatch.de/profile/tobias-krull,11,5,abgeordnetenwatch
ST,cdu,Ulrich Thomas,ulrich thomas,exact,Ulrich Thomas,cdu,124331,https://www.abgeordnetenwatch.de/profile/ulrich-thomas,17,6,abgeordnetenwatch
ST,fdp,Adrian Gusinde,adrian gusinde,exact,Adrian Gusinde,fdp,185056,https://www.abgeordnetenwatch.de/profile/adrian-gusinde,9,7,abgeordnetenwatch
ST,fdp,Allard von Arnim,allard von arnim,exact,Allard von Arnim,fdp,138818,https://www.abgeordnetenwatch.de/profile/allard-von-arnim,6,,abgeordnetenwatch
ST,fdp,Andreas Silbersack,andreas silbersack,exact,Andreas Silbersack,fdp,146315,https://www.abgeordnetenwatch.de/profile/andreas-silbersack,37,2,abgeordnetenwatch
ST,fdp,Annelie Brune,annelie brune,exact,Annelie Brune,fdp,185050,https://www.abgeordnetenwatch.de/profile/annelie-brune,2,,abgeordnetenwatch
ST,fdp,Annett Krake,annett krake,exact,Annett Krake,fdp,185071,https://www.abgeordnetenwatch.de/profile/annett-krake,35,,abgeordnetenwatch
ST,fdp,Axel Riedel,axel riedel,exact,Axel Riedel,fdp,185508,https://www.abgeordnetenwatch.de/profile/axel-riedel,19,,abgeordnetenwatch
