electiondate,land,electiondate_l1,party,vote_share,on_ballot,vote_share_l1
2004-09-19,sn,1999-09-19,fdp,5.900000095367432,1,1.100000023841858
2009-08-30,sn,2004-09-19,fdp,10,1,5.900000095367432
2014-08-31,sn,2009-08-30,fdp,3.799999952316284,1,10
2019-09-01,sn,2014-08-31,fdp,4.5,1,3.799999952316284
2019-09-01,sn,2014-08-31,fw,3.4,1,NA
1990-10-14,sn,NA,gru,5.599999904632568,1,NA
1994-09-11,sn,1990-10-14,gru,4.099999904632568,1,5.599999904632568
1999-09-19,sn,1994-09-11,gru,2.5999999046325684,1,4.099999904632568
2004-09-19,sn,1999-09-19,gru,5.099999904632568,1,2.5999999046325684
2009-08-30,sn,2004-09-19,gru,6.400000095367432,1,5.099999904632568
2014-08-31,sn,2009-08-30,gru,5.699999809265137,1,6.400000095367432
2019-09-01,sn,2014-08-31,gru,8.6,1,5.699999809265137
1990-10-14,sn,NA,lin,10.199999809265137,1,NA
1994-09-11,sn,1990-10-14,lin,16.5,1,10.199999809265137
1999-09-19,sn,1994-09-11,lin,22.200000762939453,1,16.5
2004-09-19,sn,1999-09-19,lin,23.600000381469727,1,22.200000762939453
2009-08-30,sn,2004-09-19,lin,20.600000381469727,1,23.600000381469727
2014-08-31,sn,2009-08-30,lin,18.899999618530273,1,20.600000381469727
2019-09-01,sn,2014-08-31,lin,10.4,1,18.899999618530273
1990-10-14,sn,NA,npd,0.699999988079071,1,NA
1999-09-19,sn,1994-09-11,npd,1.399999976158142,1,0.699999988079071
2004-09-19,sn,1999-09-19,npd,9.199999809265137,1,1.399999976158142
2009-08-30,sn,2004-09-19,npd,5.599999904632568,1,9.199999809265137
2014-08-31,sn,2009-08-30,npd,4.949999809265137,1,5.599999904632568
2019-09-01,sn,2014-08-31,npd,NA,0,4.949999809265137
2019-09-01,sn,2014-08-31,pir,NA,0,NA
1990-10-14,sn,NA,spd,19.100000381469727,1,NA
1994-09-11,sn,1990-10-14,spd,16.600000381469727,1,19.100000381469727
1999-09-19,sn,1994-09-11,spd,10.699999809265137,1,16.600000381469727
2004-09-19,sn,1999-09-19,spd,9.800000190734863,1,10.699999809265137
2009-08-30,sn,2004-09-19,spd,10.399999618530273,1,9.800000190734863
2014-08-31,sn,2009-08-30,spd,12.399999618530273,1,10.399999618530273
2019-09-01,sn,2014-08-31,spd,7.7,1,12.399999618530273
2016-03-13,st,2011-03-20,afd,24.299999237060547,1,NA
2021-06-06,st,2016-03-13,afd,20.8,1,24.299999237060547
2021-06-06,st,2016-03-13,bsw,NA,0,NA
1990-10-14,st,NA,cdu,39,1,NA
1994-06-26,st,1990-10-14,cdu,34.400001525878906,1,39
1998-04-26,st,1994-06-26,cdu,22,1,34.400001525878906
2002-04-21,st,1998-04-26,cdu,37.29999923706055,1,22
2006-03-26,st,2002-04-21,cdu,36.20000076293945,1,37.29999923706055
2011-03-20,st,2006-03-26,cdu,32.5,1,36.20000076293945
2016-03-13,st,2011-03-20,cdu,29.799999237060547,1,32.5
2021-06-06,st,2016-03-13,cdu,37.1,1,29.799999237060547
1990-10-14,st,NA,fdp,13.5,1,NA
1994-06-26,st,1990-10-14,fdp,3.5999999046325684,1,13.5
1998-04-26,st,1994-06-26,fdp,4.199999809265137,1,3.5999999046325684
2002-04-21,st,1998-04-26,fdp,13.300000190734863,1,4.199999809265137
2006-03-26,st,2002-04-21,fdp,6.699999809265137,1,13.300000190734863
2011-03-20,st,2006-03-26,fdp,3.799999952316284,1,6.699999809265137
2016-03-13,st,2011-03-20,fdp,4.900000095367432,1,3.799999952316284
2021-06-06,st,2016-03-13,fdp,6.4,1,4.900000095367432
2021-06-06,st,2016-03-13,fw,3.1,1,NA
1990-10-14,st,NA,gru,5.300000190734863,1,NA
1994-06-26,st,1990-10-14,gru,5.099999904632568,1,5.300000190734863
1998-04-26,st,1994-06-26,gru,3.200000047683716,1,5.099999904632568
2002-04-21,st,1998-04-26,gru,2,1,3.200000047683716
2006-03-26,st,2002-04-21,gru,3.5999999046325684,1,2
2011-03-20,st,2006-03-26,gru,7.099999904632568,1,3.5999999046325684
2016-03-13,st,2011-03-20,gru,5.199999809265137,1,7.099999904632568
2021-06-06,st,2016-03-13,gru,5.9,1,5.199999809265137
1990-10-14,st,NA,lin,12,1,NA
1994-06-26,st,1990-10-14,lin,19.899999618530273,1,12
1998-04-26,st,1994-06-26,lin,19.600000381469727,1,19.899999618530273
2002-04-21,st,1998-04-26,lin,20.399999618530273,1,19.600000381469727
2006-03-26,st,2002-04-21,lin,24.100000381469727,1,20.399999618530273
2011-03-20,st,2006-03-26,lin,23.700000762939453,1,24.100000381469727
2016-03-13,st,2011-03-20,lin,16.299999237060547,1,23.700000762939453
2021-06-06,st,2016-03-13,lin,11,1,16.299999237060547
1990-10-14,st,NA,npd,0.10000000149011612,1,NA
2011-03-20,st,2006-03-26,npd,4.599999904632568,1,0.10000000149011612
2016-03-13,st,2011-03-20,npd,1.899999976158142,1,4.599999904632568
2021-06-06,st,2016-03-13,npd,NA,0,1.899999976158142
2021-06-06,st,2016-03-13,pir,NA,0,NA
1990-10-14,st,NA,spd,26,1,NA
1994-06-26,st,1990-10-14,spd,34,1,26
1998-04-26,st,1994-06-26,spd,35.900001525878906,1,34
2002-04-21,st,1998-04-26,spd,20,1,35.900001525878906
2006-03-26,st,2002-04-21,spd,21.399999618530273,1,20
2011-03-20,st,2006-03-26,spd,21.5,1,21.399999618530273
2016-03-13,st,2011-03-20,spd,10.600000381469727,1,21.5
2021-06-06,st,2016-03-13,spd,8.4,1,10.600000381469727
2014-09-14,th,2009-08-30,afd,10.600000381469727,1,NA
2019-10-27,th,2014-09-14,afd,23.4,1,10.600000381469727
2019-10-27,th,2014-09-14,bsw,NA,0,NA
