wkr,party,partei,name,source
20,fdp,FDP,Markus Kersten,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
20,gruene,GRÜNE,Joachim Stein,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
20,linke,LINKE,Lars Büttner,https://kampagne26.die-linke-mv.de/direktkandidierende/
20,spd,SPD,Nadine Julitz,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
21,afd,AfD,Sarah Hoge,https://afd-mv.de/blaue-wende-2026/#Kandidaten
21,bsw,BSW,Olaf Jammrath,https://mv.bsw-vg.de/unsere-direktkandidaten/
21,cdu,CDU/CSU,Marko Vonhoff,https://cdu-mv.de/landtagskandidaten2026cdumv/
21,fdp,FDP,Ludwig Lünsmann,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
21,gruene,GRÜNE,Ines Balke,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
21,linke,LINKE,Niklas Hehenkamp,https://kampagne26.die-linke-mv.de/direktkandidierende/
21,spd,SPD,Diana Goede,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
22,afd,AfD,Jan-Michael Martin,https://afd-mv.de/blaue-wende-2026/#Kandidaten
22,bsw,BSW,Marion Fritzsche,https://mv.bsw-vg.de/unsere-direktkandidaten/
22,cdu,CDU/CSU,Tilo Lorenz,https://cdu-mv.de/landtagskandidaten2026cdumv/
22,fdp,FDP,Tobias Schubert,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
22,gruene,GRÜNE,Ottopeter Flettner,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
22,linke,LINKE,Amina Kanew,https://kampagne26.die-linke-mv.de/direktkandidierende/
22,spd,SPD,Thomas Herrholz,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
23,afd,AfD,Jan Steinfurth,https://afd-mv.de/blaue-wende-2026/#Kandidaten
23,bsw,BSW,Ulf Erichson,https://mv.bsw-vg.de/unsere-direktkandidaten/
23,cdu,CDU/CSU,Benjamin Heinke,https://cdu-mv.de/landtagskandidaten2026cdumv/
