wkr,party,partei,name,source
17,cdu,CDU/CSU,Ulrich Thomas,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
17,fdp,FDP,Florian Pascal Feger,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
17,fw,FW,Jerome Querfurth,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
17,gruene,GRÜNE,Susan Sziborra-Seidlitz,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
17,linke,LINKE,Maik Fye,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
17,spd,SPD,Nadine Hillecke,"https://www.kreis-hz.de/de/datei/anzeigen/id/58935,1000/amtliche_bekantmachung_ueber_die_zugelassenen_kreiswahlvorschlaege_der_wahlkreise_14_15_16_und_17.pdf"
18,afd,AfD,Daniel Rausch,https://daten.verwaltungsportal.de/dateien/publicizing/9/6/2/8/6/AHERRMANN_-_11.06.2026_-_Bekanntmachung_zugelassen.pdf
18,bsw,BSW,Andreas Michelmann,https://www.mz.de/lokal/aschersleben/paukenschlag-vor-der-landtagswahl-ascherslebens-ex-ob-andreas-michelmann-kandidiert-fur-das-bsw-4277842
18,cdu,CDU/CSU,Detlef Gürth,https://www.cdulsa.de/landtagswahl-2026
18,fdp,FDP,Torsten Haußmann,https://daten.verwaltungsportal.de/dateien/publicizing/9/6/2/8/6/AHERRMANN_-_11.06.2026_-_Bekanntmachung_zugelassen.pdf
18,gruene,GRÜNE,Martin Mertens-Keylock,https://www.gruene-lsa.de/team2026/
18,linke,LINKE,Kay Lorenz,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
18,spd,SPD,Yves Metzing,https://spdsachsenanhalt.de/wahlkreise/
19,afd,AfD,Matthias Büttner,https://daten.verwaltungsportal.de/dateien/publicizing/9/6/2/8/6/AHERRMANN_-_11.06.2026_-_Bekanntmachung_zugelassen.pdf
19,bsw,BSW,Roland Herbert,https://daten.verwaltungsportal.de/dateien/publicizing/9/6/2/8/6/AHERRMANN_-_11.06.2026_-_Bekanntmachung_zugelassen.pdf
19,cdu,CDU/CSU,Sven Rosomkiewicz,https://www.cdulsa.de/landtagswahl-2026
19,fdp,FDP,Axel Riedel,https://daten.verwaltungsportal.de/dateien/publicizing/9/6/2/8/6/AHERRMANN_-_11.06.2026_-_Bekanntmachung_zugelassen.pdf
19,gruene,GRÜNE,Kevin Pockrandt,https://www.gruene-lsa.de/team2026/
19,linke,LINKE,Veit Kuhr,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
19,spd,SPD,Seluan Al-Chakmakchi,https://spdsachsenanhalt.de/wahlkreise/
20,afd,AfD,Tobias Rausch,https://daten.verwaltungsportal.de/dateien/publicizing/9/6/2/8/6/AHERRMANN_-_11.06.2026_-_Bekanntmachung_zugelassen.pdf
20,bsw,BSW,Uwe Erich Georgi,https://daten.verwaltungsportal.de/dateien/publicizing/9/6/2/8/6/AHERRMANN_-_11.06.2026_-_Bekanntmachung_zugelassen.pdf
20,cdu,CDU/CSU,Dr. Daniel Schlothmann-Jeschek,https://www.cdulsa.de/landtagswahl-2026
20,fdp,FDP,Johanna Engel,https://daten.verwaltungsportal.de/dateien/publicizing/9/6/2/8/6/AHERRMANN_-_11.06.2026_-_Bekanntmachung_zugelassen.pdf
20,gruene,GRÜNE,Marlyn Waga,https://www.gruene-lsa.de/team2026/
20,linke,LINKE,Natalie Nagel,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
20,spd,SPD,René Wölfer,https://spdsachsenanhalt.de/wahlkreise/
21,afd,AfD,Dr. Jan Moldenhauer,https://daten.verwaltungsportal.de/dateien/publicizing/9/6/2/8/6/AHERRMANN_-_11.06.2026_-_Bekanntmachung_zugelassen.pdf
21,cdu,CDU/CSU,Stefan Ruland,https://www.cdulsa.de/landtagswahl-2026
21,fdp,FDP,Dr. Frank Odemar,https://daten.verwaltungsportal.de/dateien/publicizing/9/6/2/8/6/AHERRMANN_-_11.06.2026_-_Bekanntmachung_zugelassen.pdf
21,gruene,GRÜNE,Sandra Bauer,https://www.gruene-lsa.de/team2026/
21,linke,LINKE,Henriette Krebs,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
21,spd,SPD,Caroline Müller,https://spdsachsenanhalt.de/wahlkreise/
22,afd,AfD,Volker Olenicak,"https://www.anhalt-bitterfeld.de/datei/anzeigen/id/87050,1247/ltw2026_bekanntmachung_der_zugelassenen_bewerber_wahlkreise_22_23_und_28.pdf"
22,bsw,BSW,Christian Samter,"https://www.lkjl.de/de/datei/download/id/97098,1239/15_20_2026_vom_31.07.2026.pdf"
22,cdu,CDU/CSU,Olaf Feuerborn,"https://www.anhalt-bitterfeld.de/datei/anzeigen/id/87050,1247/ltw2026_bekanntmachung_der_zugelassenen_bewerber_wahlkreise_22_23_und_28.pdf"
22,fdp,FDP,John Matthias Kaube,"https://www.anhalt-bitterfeld.de/datei/anzeigen/id/87050,1247/ltw2026_bekanntmachung_der_zugelassenen_bewerber_wahlkreise_22_23_und_28.pdf"
22,gruene,GRÜNE,Sascha Greiner,https://www.gruene-lsa.de/team2026/
22,linke,LINKE,Andreas Pulst,"https://www.anhalt-bitterfeld.de/datei/anzeigen/id/87050,1247/ltw2026_bekanntmachung_der_zugelassenen_bewerber_wahlkreise_22_23_und_28.pdf"
22,spd,SPD,Felix Giesa,https://spdsachsenanhalt.de/wahlkreise/
23,afd,AfD,Phillipp-Anders Rau,"https://www.anhalt-bitterfeld.de/datei/anzeigen/id/87050,1247/ltw2026_bekanntmachung_der_zugelassenen_bewerber_wahlkreise_22_23_und_28.pdf"
23,cdu,CDU/CSU,Jonas Döhring,"https://www.anhalt-bitterfeld.de/datei/anzeigen/id/87050,1247/ltw2026_bekanntmachung_der_zugelassenen_bewerber_wahlkreise_22_23_und_28.pdf"
23,fdp,FDP,Marco Airoldi,"https://www.anhalt-bitterfeld.de/datei/anzeigen/id/87050,1247/ltw2026_bekanntmachung_der_zugelassenen_bewerber_wahlkreise_22_23_und_28.pdf"
23,gruene,GRÜNE,Luise Globig,"https://www.anhalt-bitterfeld.de/datei/anzeigen/id/87050,1247/ltw2026_bekanntmachung_der_zugelassenen_bewerber_wahlkreise_22_23_und_28.pdf"
23,linke,LINKE,Natalie Winzenhöller,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
23,spd,SPD,Tobias Böttcher,"https://www.anhalt-bitterfeld.de/datei/anzeigen/id/87050,1247/ltw2026_bekanntmachung_der_zugelassenen_bewerber_wahlkreise_22_23_und_28.pdf"
24,afd,AfD,Andreas Best,https://afd-wittenberg.de/
24,cdu,CDU/CSU,Nico Elsner,https://www.cdulsa.de/landtagswahl-2026
24,gruene,GRÜNE,Bea Lindhorst,https://www.gruene-lsa.de/team2026/
24,linke,LINKE,Thomas Lippmann,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
24,spd,SPD,Tina Führer,https://spdsachsenanhalt.de/wahlkreise/
25,afd,AfD,Matthias Lieschke,https://www.mz.de/lokal/wittenberg/afd-landtagswahl-lieschke-fraktionsausschluss-4208012
25,cdu,CDU/CSU,Patrick Schubert,https://www.cdulsa.de/landtagswahl-2026
25,gruene,GRÜNE,Martin Schäfer,https://www.gruene-lsa.de/team2026/
25,linke,LINKE,Doreen Hainich,https://www.dielinke-sachsen-anhalt.de/wahlen/landtagswahl-2026/
25,spd,SPD,Alexander Riedle,https://spdsachsenanhalt.de/wahlkreise/
26,afd,AfD,Burkhardt Ratzmann,https://verwaltung.dessau-rosslau.de/fileadmin/Verwaltungsportal_Dessau-Rosslau/Stadt_Buerger/Wahlen_und_Statistik/Wahlbekanntmachungen/2026_LTW/2026_07_27_Bekanntmachung_zugelassene_Kreiswahlvorschlaege.pdf
26,cdu,CDU/CSU,Dr. Anja Schneider,https://verwaltung.dessau-rosslau.de/fileadmin/Verwaltungsportal_Dessau-Rosslau/Stadt_Buerger/Wahlen_und_Statistik/Wahlbekanntmachungen/2026_LTW/2026_07_27_Bekanntmachung_zugelassene_Kreiswahlvorschlaege.pdf
26,fdp,FDP,Jörg Bernstein,https://verwaltung.dessau-rosslau.de/fileadmin/Verwaltungsportal_Dessau-Rosslau/Stadt_Buerger/Wahlen_und_Statistik/Wahlbekanntmachungen/2026_LTW/2026_07_27_Bekanntmachung_zugelassene_Kreiswahlvorschlaege.pdf
26,gruene,GRÜNE,Leonie Bronkalla,https://verwaltung.dessau-rosslau.de/fileadmin/Verwaltungsportal_Dessau-Rosslau/Stadt_Buerger/Wahlen_und_Statistik/Wahlbekanntmachungen/2026_LTW/2026_07_27_Bekanntmachung_zugelassene_Kreiswahlvorschlaege.pdf
26,linke,LINKE,Kevin Goldhahn,https://verwaltung.dessau-rosslau.de/fileadmin/Verwaltungsportal_Dessau-Rosslau/Stadt_Buerger/Wahlen_und_Statistik/Wahlbekanntmachungen/2026_LTW/2026_07_27_Bekanntmachung_zugelassene_Kreiswahlvorschlaege.pdf
