adresse,bezirk,art,wkr,gueltig,wber,truth_spd,base_spd,truth_cdu,base_cdu,truth_gruene,base_gruene,truth_linke,base_linke,truth_afd,base_afd,truth_fdp,base_fdp,truth_others,base_others
04B3I,04,B,25,423.0,0.0,21.986,23.511,29.314,18.495,22.459,21.317,7.329,10.658,5.91,8.777,6.147,11.912,6.856,5.329
04B3J,04,B,25,361.0,0.0,17.452,23.297,24.654,17.921,29.086,21.864,10.803,10.753,4.709,8.244,6.371,11.828,6.925,6.093
04B3K,04,B,25,607.0,0.0,17.463,22.571,36.244,19.143,23.229,22.857,5.437,11.143,3.295,7.714,8.896,12.286,5.437,4.286
04B3L,04,B,25,384.0,0.0,19.792,22.741,33.854,19.003,22.396,22.741,7.031,11.215,2.604,7.788,9.375,12.15,4.948,4.361
04B3M,04,B,25,369.0,0.0,21.951,22.903,22.764,18.387,33.604,23.548,9.485,11.29,1.626,7.097,4.065,11.935,6.504,4.839
04B3N,04,B,25,371.0,0.0,20.755,22.901,27.763,18.321,27.763,22.901,11.86,11.069,2.965,7.634,4.313,11.832,4.582,5.344
04B3P,04,B,25,337.0,0.0,19.585,22.936,30.564,18.349,27.3,23.547,7.418,11.315,1.484,7.034,9.199,11.927,4.451,4.893
04B3Q,04,B,25,389.0,0.0,20.308,22.642,19.28,19.182,29.049,22.642,12.339,11.321,3.599,7.862,7.455,11.95,7.969,4.403
04B3R,04,B,25,499.0,0.0,20.24,23.355,21.844,18.421,34.469,23.684,10.22,11.184,1.603,6.908,7.415,11.842,4.208,4.605
04B3S,04,B,25,619.0,0.0,20.679,23.932,23.425,18.234,31.341,23.077,10.339,11.111,3.231,7.123,4.847,11.966,6.139,4.558
04B3T,04,B,25,332.0,0.0,17.771,23.256,29.819,18.217,30.12,23.256,7.229,10.853,1.807,7.364,5.723,12.016,7.53,5.039
04B3U,04,B,25,415.0,0.0,24.578,22.353,25.783,18.235,29.398,22.647,7.229,10.294,1.928,7.647,6.747,14.118,4.337,4.706
04B3V,04,B,25,655.0,0.0,16.489,23.333,36.031,18.462,20.0,23.077,6.412,10.256,3.359,7.436,9.618,13.846,8.092,3.59
04B3W,04,B,25,361.0,0.0,19.945,23.413,20.499,17.857,33.518,23.81,9.141,11.111,3.047,7.143,3.878,11.508,9.972,5.159
04B4A,04,B,26,473.0,0.0,22.622,22.36,23.256,18.323,32.347,20.497,8.668,8.075,3.171,9.627,4.863,13.354,5.074,7.764
04B4B,04,B,26,319.0,0.0,29.467,22.378,28.213,18.881,19.749,19.93,5.329,8.392,4.389,9.091,4.702,13.986,8.15,7.343
04B4C,04,B,26,403.0,0.0,16.873,22.42,30.521,18.861,23.573,20.285,10.422,8.185,2.73,8.897,10.67,14.235,5.211,7.117
04B4D,04,B,26,509.0,0.0,19.057,21.644,26.719,18.63,30.255,23.014,8.644,8.493,2.161,8.493,6.09,13.151,7.073,6.575
04B4E,04,B,26,343.0,0.0,18.659,22.615,24.781,18.728,31.195,20.495,6.997,8.127,2.915,9.187,6.414,13.781,9.038,7.067
